duration,protocol_type,service,flag,src_bytes,dst_bytes,wrong_fragment,urgent,label
22.47240713084175,0,4,0,10952,74140,1,1,1
57.04285838459497,2,4,5,45985,68187,3,3,0
43.919636508684306,1,1,0,51977,95167,1,0,0
35.919509051822196,2,1,1,74106,16308,0,4,0
9.361118426546192,0,1,1,60139,24761,2,3,0
9.359671220172158,0,4,1,8897,75304,3,3,0
3.4850167300919677,0,4,4,18798,3158,1,4,0
51.97056874649611,0,1,5,5656,23775,1,1,0
36.06690070459253,2,4,1,25346,36845,0,1,0
42.48435466776273,1,1,3,12193,98354,0,2,0
1.2350696577481468,2,1,3,5147,15485,3,1,1
58.19459112971966,1,1,1,77192,64552,0,2,0
49.94655844802531,0,0,1,13429,96791,2,0,0
12.740346640696568,1,4,8,42191,65326,3,1,0
10.909498032426036,0,2,5,83366,21787,0,1,0
11.00427059120603,2,1,1,28764,90147,3,4,0
18.254534577572265,1,2,8,63628,90388,1,0,0
31.485385897934272,2,0,0,2402,48793,3,5,0
25.916701118526944,0,4,8,5642,7153,1,5,0
17.473748411882514,2,1,3,83746,39093,3,2,1
36.71117368334277,0,1,3,7918,55766,0,0,0
8.36963163912251,0,1,4,17476,5931,1,5,0
17.52867891211309,0,2,8,21061,27040,3,3,0
21.9817105976215,2,0,5,50034,17272,2,4,0
27.364199053022155,2,4,6,98427,65939,0,3,0
47.110557683580815,1,0,0,52642,12801,3,5,0
11.980426929501585,1,1,7,30429,59957,3,2,0
30.854066304816698,2,0,1,93706,27064,1,1,0
35.54487413172255,2,2,0,38565,3985,1,1,0
2.7870247631998635,2,3,8,98906,81796,0,1,0
36.4526911140863,2,3,5,20215,95477,1,2,0
10.231447421237492,0,4,4,41264,27615,3,3,0
3.903095579116771,0,4,0,56098,95277,3,2,0
56.93313223519999,0,0,0,68764,59466,1,2,1
57.93792198447356,2,4,7,93271,6549,0,3,0
48.50384088698767,0,2,6,9443,88066,2,5,0
18.27682615040224,0,1,5,39276,70664,3,1,0
5.860326840383032,1,1,4,31711,12801,3,4,0
41.053981590729414,1,0,2,44677,51739,1,2,0
26.409149624376077,0,1,6,59475,98593,2,2,0
7.3222940906867295,0,0,5,77011,51380,3,3,0
29.71061460667621,0,4,0,36057,48442,2,5,0
2.0633112669131037,2,4,3,39764,10505,2,4,0
54.559224124726924,1,2,5,4844,77906,3,2,0
15.526798896001015,1,1,5,24630,59228,2,0,0
39.75133706123892,1,2,7,85132,77564,2,4,0
18.702664565364657,0,3,7,20553,80129,1,2,0
31.20408127066865,2,2,5,95204,91695,1,4,0
32.80261676059678,1,0,7,43915,63275,2,5,0
11.091267331531622,1,0,6,15164,29621,0,0,0
58.175077665873516,2,2,8,59288,75974,2,0,0
46.50796940166687,0,4,3,17025,54563,3,4,0
56.36993649385135,0,3,3,4839,33415,0,1,0
53.68964102565893,1,2,0,38937,19538,1,4,0
35.87399872866511,1,4,6,73191,98569,0,3,0
55.31245410138701,2,2,6,46660,69024,1,1,0
5.309550123115169,1,1,4,65597,15332,0,5,0
11.758971745148711,2,0,7,33260,76645,2,0,0
2.713637334632284,1,1,1,96200,19162,1,1,0
19.519819845795862,1,1,0,23206,86876,3,0,0
23.320637381368922,1,3,5,55763,24594,0,0,0
16.280941906433753,0,4,0,83059,11793,2,0,0
49.72425054911576,2,0,0,21874,20850,0,3,1
21.405199601615358,2,1,6,6794,65202,0,3,1
16.856070581242847,0,0,7,17639,60438,3,2,0
32.56176498949491,0,4,4,35263,23936,0,5,0
8.45545349848576,0,2,3,51407,3827,3,3,0
48.13181884524238,2,1,1,41961,94826,1,5,0
4.47303862078625,1,4,8,66661,33410,3,0,1
59.21321619603104,0,0,5,85801,58889,3,5,0
46.334686157799446,0,4,0,53257,46790,1,4,0
11.922940892050345,0,2,4,11736,66352,3,5,0
0.33132702741614395,1,4,0,33914,60215,2,1,0
48.92768570729005,1,0,7,49938,59481,0,4,0
42.41144063085703,0,1,0,59395,22310,3,0,0
43.74043008245924,1,1,3,80338,35436,0,4,0
46.27622080115675,0,3,4,64208,58207,3,1,0
4.442679104045421,1,0,5,79757,61643,1,2,1
21.507943712656356,2,3,6,69385,44587,1,2,1
6.952143571507783,2,3,1,65285,77319,0,5,0
51.78620555253561,1,2,5,22814,73095,0,5,0
37.39788760965347,2,0,5,46767,42890,0,3,0
19.85388149115895,2,1,7,4616,95736,1,4,0
3.813501017161418,2,0,8,90100,7008,0,3,0
18.658939302939732,0,2,2,66251,59544,3,3,0
19.51099932160482,1,0,8,99947,36830,3,4,1
